Kode;Kategori;Deskripsi;Satuan;Harga Beli;Diskon Beli;Total Beli;Harga Jual;Diskon Jual;Total Jual;;
RJ1055;45% Elbow(aw-45);Elbow 45 (aw) 1;PCS;6.200;1500 %;6.200;6.500;0 %;6.500;;
RJ1065;45% Elbow(aw-45);Elbow 45 (aw) 10;PCS;1.116.700;1500 %;1.116.700;1.000.000;0 %;1.000.000;;
RJ1057;45% Elbow(aw-45);Elbow 45 (aw) 11/2;PCS;13.300;1500 %;13.300;12.000;0 %;12.000;;
RJ1056;45% Elbow(aw-45);Elbow 45 (aw) 11/4;PCS;10.600;1500 %;10.600;10.000;0 %;10.000;;
RJ1058;45% Elbow(aw-45);Elbow 45 (aw) 2;PCS;22.700;1500 %;22.700;22.500;0 %;22.500;;
RJ1059;45% Elbow(aw-45);Elbow 45 (aw) 21/2;PCS;34.500;1500 %;34.500;30.000;0 %;30.000;;
RJ1060;45% Elbow(aw-45);Elbow 45 (aw) 3;PCS;54.400;1500 %;54.400;48.000;0 %;48.000;;
RJ1061;45% Elbow(aw-45);Elbow 45 (aw) 4;PCS;94.300;1500 %;94.300;85.000;0 %;85.000;;
RJ1062;45% Elbow(aw-45);Elbow 45 (aw) 5;PCS;139.100;1500 %;139.100;125.000;0 %;125.000;;
RJ1063;45% Elbow(aw-45);Elbow 45 (aw) 6;PCS;269.100;1500 %;269.100;240.000;0 %;240.000;;
RJ1064;45% Elbow(aw-45);Elbow 45 (aw) 8;PCS;578.100;1500 %;578.100;525.000;0 %;525.000;;
RJ1053;45% Elbow(D-45 L);KNE 45 (10;PCS;357.900;1500 %;357.900;320.000;0 %;320.000;;
RJ1045;45% Elbow(D-45 L);KNE 45 (11/2);PCS;4.300;1500 %;4.300;4.000;0 %;4.000;;
RJ1054;45% Elbow(D-45 L);KNE 45 (12);PCS;562.500;1500 %;562.500;500.000;0 %;500.000;;
RJ1046;45% Elbow(D-45 L);KNE 45 (2);PCS;8.500;1500 %;8.500;7.500;0 %;7.500;;
RJ1047;45% Elbow(D-45 L);KNE 45 (21/2);PCS;11.500;1500 %;11.500;10.000;0 %;10.000;;
RJ1048;45% Elbow(D-45 L);KNE 45 (3);PCS;18.600;1500 %;18.600;16.000;0 %;16.000;;
RJ1049;45% Elbow(D-45 L);KNE 45 (4);PCS;31.600;1500 %;31.600;27.000;0 %;27.000;;
RJ1050;45% Elbow(D-45 L);KNE 45 (5);PCS;60.200;1500 %;60.200;60.000;0 %;60.000;;
RJ1051;45% Elbow(D-45 L);"KNE 45 (6"")";PCS;116.500;1500 %;116.500;120.000;0 %;120.000;;
RJ1052;45% Elbow(D-45 L);KNE 45 (8);PCS;257.100;1500 %;257.100;230.000;0 %;230.000;;
RJ1044;45% Elbow(D-45 L);KNE D 45 (11/4);PCS;3.700;1500 %;3.700;3.500;0 %;3.500;;
RJ1720;AJI;AMPLAS DUCO TAIYO 1000/100;PCS;3.000;0 %;3.000;5.000;0 %;5.000;;
RJ1719;AJI;AMPLAS DUCO TAIYO 400/200;PCS;3.000;0 %;3.000;5.000;0 %;5.000;;
RJ1721;AJI;AMPLAS ROLL BRABUS ;PCS;180.000;0 %;180.000;6.000;0 %;6.000;;
